Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"D2,D1",D_SOD-123,2,D_Schottky,
2,"R5,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,20k,
3,F1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,1.5A SMD Fuse,
4,"C4,C1,C2,C3",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,10 uF,
5,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
6,J2,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Button,
7,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,220,
8,J4,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",1,Potentiometer,
9,"R3,R2",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,1k,
10,J1,"TerminalBlock_Phoenix_PT-1,5-6-3.5-H_1x06_P3.50mm_Horizontal",1,Power/Comms,
11,Q1,SOT-23,1,MMBTA42,
12,U2,RPi_Pico_SMD_TH,1,Pico,
13,J3,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Photoresistor,
14,U1,SOT-223-3_TabPin2,1,AMS1117-5.0,
